Ball Widths Water,,,
Ball Sizes ,M1,M2,M3
5,6.30,6.30,6.30
4,4.74,4.74,4.74
3,3.92,3.92,3.91
2,3.10,3.09,3.09
1,2.32,2.31,2.31
