Motion Through Fluids Experiment Thu, Nov 2, 2023 3:25 PM
Time(sec)	Position(mm)
0.018	2.025
0.068	9.465
0.118	9.044
0.168	9.483
0.218	8.840
0.268	47.193
0.318	54.399
0.368	61.361
0.418	68.084
0.468	74.370
0.518	18.184
0.568	87.067
0.618	93.880
0.668	100.668
0.718	107.434
0.768	114.380
0.818	121.307
0.868	128.418
0.918	135.321
0.968	142.412
1.018	149.691
1.068	156.771
1.118	164.044
1.168	171.515
1.218	178.990
1.268	186.470
1.318	193.958
1.368	18.397
1.418	209.167
1.468	216.695
1.518	224.242
1.568	232.010
1.618	239.803
1.668	18.397
1.718	255.279
1.768	263.170
1.818	270.897
1.868	278.667
1.918	286.483
1.968	0.000
2.018	0.000
2.068	0.000
2.118	0.000
2.168	0.000
2.218	0.000
2.268	0.000
2.318	0.000
2.368	0.000
2.418	0.000
2.468	0.000
2.518	0.000
2.568	0.000
2.618	0.000
2.668	0.000
2.718	0.000
2.768	0.000
2.818	0.000
2.868	0.000
2.918	0.000
2.968	0.000
3.018	0.000
3.068	0.000
3.118	0.000
3.168	0.000
3.218	0.000
3.268	0.000
3.318	0.000
3.368	0.000
3.418	0.000
3.468	0.000
3.518	0.000
3.568	0.000
3.618	0.000
3.668	0.000
3.718	0.000
3.768	0.000
3.818	0.000
3.868	0.000
3.918	0.000
3.968	0.000
4.018	0.000
4.068	0.000
4.118	0.000
4.168	0.000
4.218	0.000
4.268	0.000
4.318	0.000
4.368	0.000
