Motion Through Fluids Experiment Thu, Nov 2, 2023 3:33 PM
Time(sec)	Position(mm)
0.038	7.661
0.089	5.511
0.138	37.852
0.188	18.822
0.238	48.619
0.288	7.921
0.338	59.492
0.388	18.397
0.438	70.480
0.488	17.972
0.538	81.390
0.588	87.020
0.639	92.634
0.688	18.397
0.739	103.816
0.788	109.586
0.839	18.397
0.888	121.090
0.938	127.024
0.988	132.752
1.039	138.669
1.088	144.384
1.138	150.291
1.188	156.195
1.238	162.096
1.288	167.998
1.339	173.704
1.388	179.413
1.438	18.609
1.488	18.609
1.538	196.557
1.588	202.281
1.638	208.011
1.688	213.749
1.738	219.695
1.789	225.454
1.838	231.226
1.888	237.013
1.938	242.816
1.988	248.635
2.038	254.475
2.088	18.822
2.138	266.215
2.188	272.120
2.238	278.050
2.288	283.801
2.338	289.580
2.388	0.000
2.438	0.000
2.488	0.000
2.538	0.000
2.588	0.000
2.638	0.000
2.688	0.000
2.738	0.000
