Motion Through Fluids Experiment Thu, Nov 2, 2023 3:25 PM
Time(sec)	Position(mm)
0.268	47.193
0.318	54.399
0.368	61.361
0.418	68.084
0.468	74.370
0.568	87.067
0.618	93.880
0.668	100.668
0.718	107.434
0.768	114.380
0.818	121.307
0.868	128.418
0.918	135.321
0.968	142.412
1.018	149.691
1.068	156.771
1.118	164.044
1.168	171.515
1.218	178.990
1.268	186.470
1.318	193.958
1.418	209.167
1.468	216.695
1.518	224.242
1.568	232.010
1.618	239.803
1.718	255.279
1.768	263.170
1.818	270.897
1.868	278.667
1.918	286.483
